Step,"Grouped runs - Client #1, train_avg_loss","Grouped runs - Client #1, train_avg_loss__MIN","Grouped runs - Client #1, train_avg_loss__MAX","Grouped runs - Client #2, train_avg_loss","Grouped runs - Client #2, train_avg_loss__MIN","Grouped runs - Client #2, train_avg_loss__MAX","Grouped runs - Client #3, train_avg_loss","Grouped runs - Client #3, train_avg_loss__MIN","Grouped runs - Client #3, train_avg_loss__MAX","Grouped runs - Client #4, train_avg_loss","Grouped runs - Client #4, train_avg_loss__MIN","Grouped runs - Client #4, train_avg_loss__MAX","Grouped runs - Client #5, train_avg_loss","Grouped runs - Client #5, train_avg_loss__MIN","Grouped runs - Client #5, train_avg_loss__MAX",avg,min,max
2133,,,,,,,,,,,,,1.822677016,1.822677016,1.822677016,1.650758696,1.324121952,1.822677016
2141,1.324121952,1.324121952,1.324121952,,,,,,,,,,,,,1.577661633,1.324121952,1.796694875
2156,,,,,,,1.796694875,1.796694875,1.796694875,,,,,,,1.59287529,1.400190234,1.796694875
2167,,,,1.78985548,1.78985548,1.78985548,,,,,,,,,,1.52612133,1.400190234,1.78985548
2217,,,,,,,,,,,,,1.520444155,1.520444155,1.520444155,1.486629176,1.400190234,1.59239471
2224,,,,1.457191706,1.457191706,1.457191706,,,,,,,,,,1.544860816,1.400190234,1.811602354
2277,1.400190234,1.400190234,1.400190234,,,,,,,,,,,,,1.52517848,1.358780026,1.811602354
2302,,,,,,,,,,1.462925076,1.462925076,1.462925076,,,,1.698402143,1.358780026,2.266308546
2309,1.59239471,1.59239471,1.59239471,,,,,,,,,,,,,1.63999579,1.170893312,2.266308546
2320,,,,,,,,,,,,,1.811602354,1.811602354,1.811602354,1.632298398,1.170893312,2.266308546
2328,,,,1.358780026,1.358780026,1.358780026,,,,,,,,,,1.556591296,1.170893312,2.266308546
2335,,,,,,,2.266308546,2.266308546,2.266308546,,,,,,,1.609626365,1.170893312,2.266308546
2375,,,,1.170893312,1.170893312,1.170893312,,,,,,,,,,1.446535659,1.170893312,1.623955369
2414,,,,,,,1.553907752,1.553907752,1.553907752,,,,,,,1.533744335,1.433066845,1.623955369
2423,,,,,,,,,,1.433066845,1.433066845,1.433066845,,,,1.572174835,1.433066845,1.746060252
2436,,,,1.623955369,1.623955369,1.623955369,,,,,,,,,,1.593111658,1.450855017,1.746060252
2452,,,,,,,,,,,,,1.450855017,1.450855017,1.450855017,1.624879599,1.450855017,1.782795072
2459,1.606936693,1.606936693,1.606936693,,,,,,,,,,,,,1.67471962,1.537750959,1.782795072
2473,,,,,,,1.746060252,1.746060252,1.746060252,,,,,,,1.659752345,1.53210032,1.782795072
2497,,,,,,,,,,1.537750959,1.537750959,1.537750959,,,,1.600126815,1.447932601,1.782795072
2499,,,,1.782795072,1.782795072,1.782795072,,,,,,,,,,1.610663366,1.447932601,1.782795072
2511,,,,,,,,,,,,,1.700055122,1.700055122,1.700055122,1.588063788,1.447932601,1.700055122
2566,,,,,,,1.53210032,1.53210032,1.53210032,,,,,,,1.485775375,1.188613057,1.669797182
2581,,,,,,,,,,1.447932601,1.447932601,1.447932601,,,,1.522588229,1.188613057,1.716164589
2601,,,,,,,1.590433717,1.590433717,1.590433717,,,,,,,1.634557676,1.188613057,2.007779837
2623,,,,1.669797182,1.669797182,1.669797182,,,,,,,,,,1.62731173,1.188613057,2.007779837
2639,,,,,,,,,,1.188613057,1.188613057,1.188613057,,,,1.582783508,1.188613057,2.007779837
2668,,,,,,,1.716164589,1.716164589,1.716164589,,,,,,,1.673937058,1.447156072,2.007779837
2710,,,,,,,,,,,,,2.007779837,2.007779837,2.007779837,1.713629651,1.447156072,2.007779837
2717,1.554203987,1.554203987,1.554203987,,,,,,,,,,,,,1.658844972,1.447156072,1.914627552
2725,,,,,,,1.447156072,1.447156072,1.447156072,,,,,,,1.658285713,1.447156072,1.914627552
2843,,,,,,,1.644380808,1.644380808,1.644380808,,,,,,,1.692820764,1.551407695,1.914627552
2847,1.914627552,1.914627552,1.914627552,,,,,,,,,,,,,1.66527884,1.50667119,1.914627552
2854,,,,,,,,,,,,,1.73385644,1.73385644,1.73385644,1.548578191,1.331124306,1.73385644
2883,,,,,,,1.551407695,1.551407695,1.551407695,,,,,,,1.553289247,1.331124306,1.757411718
2899,,,,1.619831324,1.619831324,1.619831324,,,,,,,,,,1.550057983,1.331124306,1.757411718
2924,,,,,,,,,,1.50667119,1.50667119,1.50667119,,,,1.470912075,1.224101782,1.757411718
2946,,,,1.331124306,1.331124306,1.331124306,,,,,,,,,,1.525159359,1.224101782,1.77790761
2966,,,,,,,,,,,,,1.757411718,1.757411718,1.757411718,1.549213076,1.224101782,1.77790761
2979,,,,,,,,,,1.535251379,1.535251379,1.535251379,,,,1.449959183,1.224101782,1.77790761
2980,,,,1.224101782,1.224101782,1.224101782,,,,,,,,,,1.506214738,1.224101782,1.816529155
3054,,,,,,,,,,,,,1.77790761,1.77790761,1.77790761,1.586908484,1.261142254,1.816529155
3072,,,,,,,,,,1.451392889,1.451392889,1.451392889,,,,1.59214015,1.261142254,1.816529155
3077,1.261142254,1.261142254,1.261142254,,,,,,,,,,,,,1.571619534,1.261142254,1.816529155
3092,,,,,,,1.816529155,1.816529155,1.816529155,,,,,,,1.680388641,1.348789811,1.816529155
3096,,,,1.62757051,1.62757051,1.62757051,,,,,,,,,,1.593451977,1.348789811,1.804987788
3097,,,,,,,,,,,,,1.804065943,1.804065943,1.804065943,1.513433146,1.227476358,1.804987788
3161,,,,,,,,,,1.348789811,1.348789811,1.348789811,,,,1.42867918,1.227476358,1.804987788
3170,1.804987788,1.804987788,1.804987788,,,,,,,,,,,,,1.484510493,1.227476358,1.804987788
3179,,,,1.381845832,1.381845832,1.381845832,,,,,,,,,,1.47220459,1.227476358,1.743458271
3194,,,,,,,1.227476358,1.227476358,1.227476358,,,,,,,1.485563016,1.227476358,1.743458271
3197,,,,,,,,,,1.380296111,1.380296111,1.380296111,,,,1.578512502,1.380296111,1.743458271
3230,,,,1.627946377,1.627946377,1.627946377,,,,,,,,,,1.596149349,1.448637962,1.743458271
3242,,,,,,,1.743458271,1.743458271,1.743458271,,,,,,,1.528808546,1.291242361,1.743458271
3262,,,,1.448637962,1.448637962,1.448637962,,,,,,,,,,1.381971836,1.009274721,1.692223787
3288,,,,,,,,,,1.692223787,1.692223787,1.692223787,,,,1.369980717,1.009274721,1.692223787
3303,1.468480349,1.468480349,1.468480349,,,,,,,,,,,,,1.300432062,1.009274721,1.468480349
3353,,,,,,,1.291242361,1.291242361,1.291242361,,,,,,,1.302315664,1.009274721,1.477898359
3363,1.009274721,1.009274721,1.009274721,,,,,,,,,,,,,1.398001099,1.009274721,1.769669533
3407,1.388682365,1.388682365,1.388682365,,,,,,,,,,,,,1.434843254,1.193485498,1.769669533
3421,,,,1.344480515,1.344480515,1.344480515,,,,,,,,,,1.446011305,1.193485498,1.769669533
3455,1.477898359,1.477898359,1.477898359,,,,,,,,,,,,,1.509984398,1.193485498,1.769669533
3458,,,,,,,,,,,,,1.769669533,1.769669533,1.769669533,1.540800881,1.193485498,1.769669533
3529,,,,1.193485498,1.193485498,1.193485498,,,,,,,,,,1.520374751,1.193485498,1.667538881
3532,,,,,,,1.444522619,1.444522619,1.444522619,,,,,,,1.572946763,1.444522619,1.667538881
3608,,,,,,,1.66434598,1.66434598,1.66434598,,,,,,,1.600473404,1.456345558,1.667538881
3615,,,,,,,,,,,,,1.631980777,1.631980777,1.631980777,1.562705207,1.456345558,1.667538881
3639,,,,1.667538881,1.667538881,1.667538881,,,,,,,,,,1.58707521,1.456345558,1.753830791
3640,,,,,,,,,,1.456345558,1.456345558,1.456345558,,,,1.509906793,1.281696796,1.753830791
3641,1.582155824,1.582155824,1.582155824,,,,,,,,,,,,,1.486175799,1.281696796,1.753830791
3671,,,,1.475504994,1.475504994,1.475504994,,,,,,,,,,1.452684116,1.281696796,1.753830791
3725,1.753830791,1.753830791,1.753830791,,,,,,,,,,,,,1.465686488,1.281696796,1.753830791
3735,,,,,,,,,,,,,1.281696796,1.281696796,1.281696796,1.416806483,1.281696796,1.540516853
3780,,,,,,,,,,1.337690592,1.337690592,1.337690592,,,,1.380587196,1.100600362,1.540516853
3823,,,,,,,,,,1.414697409,1.414697409,1.414697409,,,,1.415533805,1.100600362,1.540516853
3854,,,,1.540516853,1.540516853,1.540516853,,,,,,,,,,1.448642397,1.100600362,1.580240369
3894,,,,,,,,,,1.509430766,1.509430766,1.509430766,,,,1.331828225,0.956445992,1.580240369
3901,1.100600362,1.100600362,1.100600362,,,,,,,,,,,,,1.347499526,0.956445992,1.587787271
3904,,,,,,,1.512423635,1.512423635,1.512423635,,,,,,,1.374526536,0.956445992,1.587787271
