Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
1519,,,,2.064136267,2.064136267,2.064136267,,,,,,,,,,1.9727247,1.811451316,2.106110573
1525,1.821913242,1.821913242,1.821913242,,,,,,,,,,,,,1.924260092,1.811451316,2.106110573
1550,,,,,,,,,,1.811451316,1.811451316,1.811451316,,,,1.942587256,1.811451316,2.106110573
1566,,,,,,,,,,,,,2.106110573,2.106110573,2.106110573,1.928064346,1.738836765,2.106110573
1592,,,,,,,2.060012102,2.060012102,2.060012102,,,,,,,1.852441812,1.727997899,2.060012102
1619,1.821813226,1.821813226,1.821813226,,,,,,,,,,,,,1.787385845,1.727997899,1.913549066
1628,,,,,,,1.913549066,1.913549066,1.913549066,,,,,,,1.782761812,1.727997899,1.913549066
1679,1.738836765,1.738836765,1.738836765,,,,,,,,,,,,,1.721240258,1.605941296,1.798693061
1686,,,,,,,1.727997899,1.727997899,1.727997899,,,,,,,1.740252829,1.605941296,1.833899617
1732,,,,1.73473227,1.73473227,1.73473227,,,,,,,,,,1.823706079,1.605941296,2.145264149
1741,,,,,,,,,,,,,1.798693061,1.798693061,1.798693061,1.832175422,1.605941296,2.145264149
1765,1.605941296,1.605941296,1.605941296,,,,,,,,,,,,,1.849531913,1.605941296,2.145264149
1766,,,,,,,1.833899617,1.833899617,1.833899617,,,,,,,1.87477777,1.732170582,2.145264149
1770,,,,,,,,,,2.145264149,2.145264149,2.145264149,,,,1.841320491,1.666613221,2.145264149
1781,,,,1.777078986,1.777078986,1.777078986,,,,,,,,,,1.769855952,1.666613221,1.885475516
1802,,,,,,,1.885475516,1.885475516,1.885475516,,,,,,,1.832426357,1.666613221,2.089931011
1816,,,,1.732170582,1.732170582,1.732170582,,,,,,,,,,1.870895696,1.666613221,2.089931011
1831,,,,,,,,,,,,,1.666613221,1.666613221,1.666613221,1.890204072,1.666613221,2.089931011
1849,,,,,,,1.787941456,1.787941456,1.787941456,,,,,,,1.889362407,1.662404895,2.089931011
1886,2.089931011,2.089931011,2.089931011,,,,,,,,,,,,,1.827203131,1.477145076,2.089931011
1893,,,,,,,,,,,,,2.077822208,2.077822208,2.077822208,1.646791482,1.187872767,2.077822208
1929,,,,1.828712463,1.828712463,1.828712463,,,,,,,,,,1.580478287,1.187872767,1.828712463
1960,,,,1.662404895,1.662404895,1.662404895,,,,,,,,,,1.51208241,1.187872767,1.746256232
1962,1.477145076,1.477145076,1.477145076,,,,,,,,,,,,,1.51668787,1.187872767,1.746256232
1979,,,,,,,,,,1.187872767,1.187872767,1.187872767,,,,1.725223899,1.187872767,2.51982522
2005,,,,,,,1.746256232,1.746256232,1.746256232,,,,,,,1.853126168,1.486733079,2.51982522
2030,1.486733079,1.486733079,1.486733079,,,,,,,,,,,,,1.81607883,1.486733079,2.51982522
2115,,,,,,,,,,1.685432196,1.685432196,1.685432196,,,,1.845933366,1.56101954,2.51982522
2118,,,,,,,2.51982522,2.51982522,2.51982522,,,,,,,1.843881226,1.56101954,2.51982522
2133,,,,,,,,,,,,,1.827384114,1.827384114,1.827384114,1.608991456,1.345376372,1.827384114
2141,1.56101954,1.56101954,1.56101954,,,,,,,,,,,,,1.588308907,1.345376372,1.723971367
2156,,,,,,,1.636005759,1.636005759,1.636005759,,,,,,,1.607571769,1.345376372,1.723971367
2167,,,,1.675171494,1.675171494,1.675171494,,,,,,,,,,1.56204164,1.345376372,1.723971367
2217,,,,,,,,,,,,,1.345376372,1.345376372,1.345376372,1.505929327,1.345376372,1.723971367
2224,,,,1.723971367,1.723971367,1.723971367,,,,,,,,,,1.585868716,1.394609928,1.745073318
2277,1.657333851,1.657333851,1.657333851,,,,,,,,,,,,,1.571030712,1.394609928,1.745073318
2302,,,,,,,,,,1.408355117,1.408355117,1.408355117,,,,1.640771008,1.394609928,2.006035328
2309,1.394609928,1.394609928,1.394609928,,,,,,,,,,,,,1.630029821,1.354649186,2.006035328
2320,,,,,,,,,,,,,1.745073318,1.745073318,1.745073318,1.685073614,1.354649186,2.006035328
2328,,,,1.649781346,1.649781346,1.649781346,,,,,,,,,,1.706878924,1.354649186,2.006035328
2335,,,,,,,2.006035328,2.006035328,2.006035328,,,,,,,1.66023519,1.354649186,2.006035328
2375,,,,1.354649186,1.354649186,1.354649186,,,,,,,,,,1.634003067,1.354649186,1.874874711
2414,,,,,,,1.669828892,1.669828892,1.669828892,,,,,,,1.674598956,1.416562676,1.874874711
2423,,,,,,,,,,1.85409987,1.85409987,1.85409987,,,,1.683084345,1.416562676,1.874874711
2436,,,,1.416562676,1.416562676,1.416562676,,,,,,,,,,1.663563275,1.416562676,1.874874711
2452,,,,,,,,,,,,,1.874874711,1.874874711,1.874874711,1.756652188,1.557628632,1.882007241
2459,1.557628632,1.557628632,1.557628632,,,,,,,,,,,,,1.657764673,1.380437136,1.882007241
2473,,,,,,,1.712255836,1.712255836,1.712255836,,,,,,,1.688063574,1.380437136,1.882007241
2497,,,,,,,,,,1.756494522,1.756494522,1.756494522,,,,1.588486147,1.214368701,1.882007241
2499,,,,1.882007241,1.882007241,1.882007241,,,,,,,,,,1.525718713,1.214368701,1.882007241
2511,,,,,,,,,,,,,1.380437136,1.380437136,1.380437136,1.507090664,1.214368701,1.788866997
2566,,,,,,,1.709123135,1.709123135,1.709123135,,,,,,,1.510571742,1.214368701,1.788866997
2581,,,,,,,,,,1.214368701,1.214368701,1.214368701,,,,1.491338515,1.214368701,1.788866997
2601,,,,,,,1.442657351,1.442657351,1.442657351,,,,,,,1.594613028,1.397842526,1.788866997
2623,,,,1.788866997,1.788866997,1.788866997,,,,,,,,,,1.588771462,1.397842526,1.788866997
2639,,,,,,,,,,1.397842526,1.397842526,1.397842526,,,,1.511995912,1.397842526,1.730741262
